299比索以下卖家不包邮
站点,重量区间（lb）,运费（USD）
MX,0 - 0.25,6.67
MX,0.25 - 0.5,6.85
MX,0.5 - 0.75,7.02
MX,0.75 - 1,7.24
MX,1 - 1.5,7.61
MX,1.5 - 2,8.05
MX,2 - 3,8.90
MX,3 - 4,9.86
MX,4 - 5,10.72
MX,5 - 7,12.44
MX,7 - 9,15.87
MX,9 - 11,18.20
BR,0 - 0.25,"10,84"
BR,0.25 - 0.5,"10,99"
BR,0.5 - 0.75,"11,17"
BR,0.75 - 1,"11,39"
BR,1 - 1.5,"11,65"
BR,1.5 - 2,"11,98"
BR,2 - 3,"12,44"
BR,3 - 4,"13,10"
BR,4 - 5,"13,75"
BR,5 - 7,"14,95"
BR,7 - 9,"16,61"
BR,9 - 11,"19,05"
CL,0 - 0.25,7.07
CL,0.25 - 0.5,7.54
CL,0.5 - 0.75,8.18
CL,0.75 - 1,8.72
CL,1 - 1.5,9.35
CL,1.5 - 2,10.10
CL,2 - 3,11.42
CL,3 - 4,13.05
CL,4 - 5,14.90
CL,5 - 7,18.35
CL,7 - 9,24.60
CL,9 - 11,31.80
CO,0 - 0.25,8.96
CO,0.25 - 0.5,9.06
CO,0.5 - 0.75,9.16
CO,0.75 - 1,9.34
CO,1 - 1.5,9.62
CO,1.5 - 2,9.98
CO,2 - 3,10.55
CO,3 - 4,11.40
CO,4 - 5,12.30
CO,5 - 7,14.10
CO,7 - 9,17.25
CO,9 - 11,21.40
AR,0 - 0.25,7.85
AR,0.25 - 0.5,9.05
AR,0.5 - 0.75,10.13
AR,0.75 - 1,11.02
AR,1 - 1.5,12.30
AR,1.5 - 2,13.80
AR,2 - 3,16.20
AR,3 - 4,19.45
AR,4 - 5,23.10
AR,5 - 7,29.80
AR,7 - 9,38.60
AR,9 - 11,49.20
