平台,站点,语种,类目,前3秒台词,播放量,销量,点赞,作品,采集日期
TikTok,MX,es,户外装备,¿Todavía peleas con el cable enredado cada mañana?,182000,940,12000,TT-MX-8821,2026-09-08
TikTok,MX,es,户外装备,No compres otro soporte antes de ver esto,241000,1310,15800,TT-MX-8822,2026-09-08
TikTok,MX,es,户外装备,Solo 21 dólares y queda instalado en 30 segundos,96000,610,6400,TT-MX-8823,2026-09-09
Reels,MX,es,家居收纳,Si eres mamá y viajas en el coche esto te va a salvar,158000,720,9300,IG-MX-4410,2026-09-09
Reels,MX,es,家居收纳,Mira la diferencia antes y después,205000,880,11400,IG-MX-4411,2026-09-10
TikTok,MX,es,数码小电,3000 reseñas y sigue siendo el más vendido,74000,290,3800,TT-MX-8824,2026-09-10
TikTok,BR,pt,汽车用品,Pare de perder tempo procurando o controle do portão,133000,580,7600,TT-BR-2201,2026-09-08
TikTok,BR,pt,厨房小电,Só 12 reais e cabe no bolso,88000,410,4900,TT-BR-2202,2026-09-09
Reels,BR,pt,家居收纳,Se você mora em casa pequena isso resolve,119000,530,6100,IG-BR-3301,2026-09-10
TikTok,VN,vi,数码小电,Đừng mua quạt cũ nữa xem cái này đi,167000,890,10500,TT-VN-5510,2026-09-08
TikTok,VN,vi,数码小电,Chỉ 6 đô mà mát cả ngày,92000,470,5200,TT-VN-5511,2026-09-09
TikTok,VN,vi,厨房小电,Nếu bạn là nhân viên văn phòng cái này dành cho bạn,141000,660,8300,TT-VN-5512,2026-09-10
TikTok,JP,ja,家居收纳,毎日コードに絡まっていませんか,78000,320,4100,TT-JP-7710,2026-09-08
TikTok,JP,ja,家居收纳,もう古いのは買わないで,65000,280,3500,TT-JP-7711,2026-09-09
TikTok,JP,ja,数码小电,今日も家で使ってみた,54000,210,2600,TT-JP-7712,2026-09-10
TikTok,TH,th,数码小电,อย่าซื้ออันเก่าอีกแล้ว,113000,690,7100,TT-TH-9910,2026-09-08
TikTok,TH,th,数码小电,ราคาแค่ 199 บาท,87000,530,4700,TT-TH-9911,2026-09-09
TikTok,US,en,汽车用品,Stop buying the old one watch this first,262000,1180,17400,TT-US-1101,2026-09-08
Reels,US,en,汽车用品,If you're a mom with two kids this is for you,198000,860,12900,IG-US-1201,2026-09-09
TikTok,US,en,数码小电,Why does nobody talk about this,224000,1020,14600,TT-US-1102,2026-09-09
TikTok,US,en,户外装备,Watch the before and after,176000,790,10200,TT-US-1103,2026-09-10
TikTok,US,en,家居收纳,Every day the trunk becomes a mess,154000,640,8800,TT-US-1104,2026-09-10
TikTok,MX,es,家居收纳,New arrival 2026 limited edition,41000,150,1800,TT-MX-8825,2026-09-10
TikTok,BR,pt,数码小电,SKU-2041 restock alert,33000,120,1400,TT-BR-2203,2026-09-10
TikTok,TH,th,家居收纳,,52000,240,2900,TT-TH-9912,2026-09-10
