日期,业务方向,单据号,手写原文,规格,数量,单价,手写金额,凭证照片,识别置信度,备注
2026-09-01,采购,CG-0901,14pm改17pm,256G 深空黑,2,6200,12400,IMG_0901_采购单.jpg,0.96,
2026-09-01,采购,CG-0901,15DD屏幕,原装拆机,5,255,1275,IMG_0901_采购单.jpg,0.93,
2026-09-01,销售,XS-0901,14pm改17pm,256G 深空黑,1,6850,6850,IMG_0901_销售单.jpg,0.95,
2026-09-02,采购,CG-0902,XR电池,原装容量,10,92,920,IMG_0902_采购单.jpg,0.9,
2026-09-02,采购,CG-0902,拆机后盖 8P,拆机件,3,45,140,IMG_0902_采购单.jpg,0.62,字迹潦草，3×45 应为 135，单据写成 140
2026-09-02,销售,XS-0902,15DD屏幕,原装拆机,2,260,520,IMG_0902_销售单.jpg,0.97,
2026-09-02,销售,XS-0902,XR 电池,原装容量,3,95,285,IMG_0902_销售单.jpg,0.94,
2026-09-03,销售,XS-0903,14pm改17pm,256G 深空黑,1,6850,6850,IMG_0903_销售单.jpg,0.96,
2026-09-03,销售,XS-0903,15DD屏幕,原装拆机,2,260,520,IMG_0903_销售单.jpg,0.95,
2026-09-03,销售,XS-0903,XR 电池,原装容量,3,95,285,IMG_0903_销售单.jpg,0.93,
2026-09-03,销售,XS-0903,XR 电池,原装容量,3,95,285,IMG_0903_销售单.jpg,0.93,同一行被拍了两遍
2026-09-03,采购,CG-0903,13电池排线,拆机件,20,18,,IMG_0903_采购单.jpg,0.88,单据只写了数量和单价
2026-09-04,出货,XS-0904,12主板,拆机件,2,380,760,IMG_0904_销售单.jpg,0.91,方向写的是「出货」
2026-09-04,进货,CG-0904,后摄总成 X,拆机件,4,150,600,IMG_0904_采购单.jpg,0.92,方向写的是「进货」
2026-09-04,销售,XS-0904,神奇配件,,1,300,350,IMG_0904_销售单.jpg,0.55,简写没收录过，金额也和数量单价对不上
9.5,销售,XS-0905,15DD屏幕,原装拆机,1,260,260,IMG_0905_销售单.jpg,0.94,日期只写了 9.5；照片没归档
,采购,CG-0905,尾插排线,拆机件,5,30,150,IMG_0905_采购单.jpg,0.8,日期完全空白
