站点,语种,主流平台,节奏,画面风格,出镜者,使用场景,话术调性,禁忌元素,语速上限,来源,获取日期
MX,es,TikTok/Reels/短视频信息流,快切2秒一个镜头，西语语速偏快,手持实拍、暖色调家庭场景,30-40岁家庭主妇或年轻爸爸,家里、车里、户外露营,口语化、热情、先讲麻烦再讲解决,不要在镜头里出现国旗或政治符号,3.2,示例：待按墨西哥站达人素材与后台数据复核,
BR,pt,TikTok/Reels,节奏最跳、卡点强，配桑巴或放克BGM,鲜艳高饱和、海滩与街头生活,20-35岁年轻女性,家中日常、户外、健身,轻松幽默、肢体语言多,不要用阿根廷相关元素,2.8,示例：待按巴西站达人素材与后台数据复核,
CL,es,TikTok/Reels,中速，镜头稳定、信息清楚,干净简洁、自然光,25-40岁都市上班族,家、办公室、通勤,克制务实、强调耐用与实用,不要用夸张促销语气,2.8,示例：待按智利站达人素材与后台数据复核,
CO,es,Reels/TikTok,中速偏快，常用街头实拍,生活化、明亮、多人物互动,20-35岁城市年轻人,街边、家里、小店,亲切、带玩笑、强调性价比,不要用与当地治安相关的玩笑,3.0,示例：待按哥伦比亚站达人素材与后台数据复核,
AR,es,Reels/TikTok,中速，偏爱讲故事式叙述,复古色调、城市街景,25-45岁中产家庭,家里、车里、周末出行,带情绪、爱吐槽物价,不要涉及经济政策与汇率调侃,2.8,示例：待按阿根廷站达人素材与后台数据复核,
VN,vi,TikTok/Reels,快节奏、卡点强，字幕密度高,明亮实拍、街头与咖啡店,20-35岁城市女性,通勤路上、办公室、家里,亲切直接、强调实用与价格,不要用与邻国相关的政治内容,3.5,示例：待按越南站达人素材与后台数据复核,
JP,ja,TikTok/YouTube Shorts/Instagram,中速、信息密度高、字幕信息量大,干净柔和、低饱和、自然光,25-40岁独居或双职工上班族,小户型公寓、厨房、办公桌,克制礼貌、先讲功能再讲细节,不要用夸张叫卖与绝对化用语,5.5,示例：待按日本站达人素材与后台数据复核,
TH,th,TikTok/Reels,轻松跳脱、配乐强、常有搞笑桥段,明亮高饱和、生活化,18-30岁年轻用户,夜市、家里、通勤,幽默轻松、对价格敏感,不要涉及王室与宗教,4.5,示例：待按泰国站达人素材与后台数据复核,
US,en,TikTok/Reels/YouTube Shorts,前3秒强钩子、中段快切,明亮实拍、居家与车库场景,25-45岁家庭车主,车里、车库、家里,直接、强调省事与性价比,不要用有争议的公共议题,2.6,示例：待按美国站达人素材与后台数据复核,
ID,id,TikTok/Reels,节奏明快、常用开箱与实测,暖色调、家庭与街边小摊,20-35岁年轻家庭,家里、摩托车上、小店,接地气、强调耐用与分期,不要涉及宗教与族群议题,2.8,示例：待按印尼站达人素材与后台数据复核,
DE,de,TikTok/Instagram Reels,中速、信息严谨、字幕偏长,干净、自然光、偏冷色调,30-50岁理性消费者,家里、阳台、车库,克制、强调品质与保修,不要用夸张促销与比较性排名,2.4,示例：待按德国站达人素材与后台数据复核,
SA,ar,TikTok/Instagram Reels,中速、镜头稳、字幕少而大,暖色调、家庭场景,25-45岁家庭用户,家里、车内、商场,礼貌、强调品质与售后,不要出现饮酒、赌博与宗教相关元素,2.4,示例：待按沙特站达人素材与后台数据复核,
